,Unnamed: 0,text,spellchecked_text,normalized_text,contains_ref,label
29,29,"    On the ever-changing canvas of the digital art screen, pixelated images created illusions of fluid motion.",On the ever-changing canvas of the digital art screen pixelated images created illusions of fluid motion,change canvas digital art screen pixelate image create illusion fluid motion,False,
30,30,    Their exquisite taste in art was evident in their home.,Their exquisite taste in art was evident in their home,exquisite taste art evident home,False,
31,31,"    Observing planets and stars, he developed a passion for astronomy.",Observing planets and stars he developed a passion for astronomy,observe planet star develop passion astronomy,False,
32,32,    A scenic waterfall was the highlight of their hike.,A scenic waterfall was the highlight of their hike,scenic waterfall highlight hike,False,
33,33,"    During the flight, passengers marveled at the spectacle of the Northern Lights through the airplane windows.",During the flight passengers marveled at the spectacle of the Northern Lights through the airplane windows,flight passenger marvel spectacle northern light airplane window,False,
34,34,"    Through the complicated algorithms of machine learning, computers gained the ability to adapt and improve.",Through the complicated algorithms of machine learning computers gained the ability to adapt and improve,complicated algorithm machine learn computer gain ability adapt improve,False,
35,35,"    An array of solar panels adorned the roof, symbolizing the homeowner's commitment to sustainable living.",An array of solar panels adorned the roof symbolizing the homeowner's commitment to sustainable living,array solar panel adorn roof symbolize homeowner commitment sustainable living,False,
36,36,"    Around the bonfire, faces glowed in the flickering light, each telling stories that transcended generations.",Around the bonfire faces glowed in the flickering light each telling stories that transcended generations,bonfire face glow flicker light tell story transcend generation,False,
37,37,"    The outdoor amphitheater hosted a range of performances, from dance recitals to theatrical productions.",The outdoor amphitheater hosted a range of performances from dance recitals to theatrical productions,outdoor amphitheater host range performance dance recital theatrical production,False,
38,38,"    Along the old cobblestone streets, the preserved architecture offered a sense of historical continuity.",Along the old cobblestone streets the preserved architecture offered a sense of historical continuity,old cobblestone street preserved architecture offer sense historical continuity,False,
39,39,"    Through innovative recycling programs, they reduced waste.",Through innovative recycling programs they reduced waste,innovative recycling program reduce waste,False,
40,40,"    Amid the virtual worlds of online gaming, players collaborated and competed in a multitude of scenarios.",Amid the virtual worlds of online gaming players collaborated and competed in a multitude of scenarios,virtual world online gaming player collaborate compete multitude scenario,False,
41,41,"    In the tiered amphitheater, attendees found seats offering different perspectives for appreciating the same performance.",In the tiered amphitheater attendees found seats offering different perspectives for appreciating the same performance,tiered amphitheater attendee find seat offer different perspective appreciate performance,False,
42,42,"    Overlooking the bustling harbor, the seafood restaurant boasted a menu as fresh as the view.",Overlooking the bustling harbor the seafood restaurant boasted a menu as fresh as the view,overlook bustle harbor seafood restaurant boast menu fresh view,False,
43,43,"    Enclosed in a snow globe, a miniature winter scene captured the magic of the season.",Enclosed in a snow globe a miniature winter scene captured the magic of the season,enclose snow globe miniature winter scene capture magic season,False,
44,44,"    Through the labyrinthine corridors of the palace, visitors could explore opulent rooms and hidden chambers.",Through the labyrinthine corridors of the palace visitors could explore opulent rooms and hidden chambers,labyrinthine corridor palace visitor explore opulent room hide chamber,False,
45,45,    The lunar eclipse captivated onlookers as Earth's shadow gradually covered the moon's surface.,The lunar eclipse captivated onlookers as Earth's shadow gradually covered the moon's surface,lunar eclipse captivate onlooker earth shadow gradually cover moon surface,False,
46,46,"    The quilt featured an intricate pattern of geometric shapes, each hand-stitched with precision.",The quilt featured an intricate pattern of geometric shapes each hand-stitched with precision,quilt feature intricate pattern geometric shape hand stitch precision,False,
47,47,"    Amid the well-tended flower beds, the gardener found a unique sense of peace and accomplishment.",Amid the well-tended flower beds the gardener found a unique sense of peace and accomplishment,tend flower bed gardener find unique sense peace accomplishment,False,
48,48,"    On the factory assembly line, robotic arms moved with uncanny precision, assembling products with efficient accuracy.",On the factory assembly line robotic arms moved with uncanny precision assembling products with efficient accuracy,factory assembly line robotic arm move uncanny precision assemble product efficient accuracy,False,
49,49,"    At dusk, the city lights began to sparkle, creating a magical atmosphere that captivated residents and tourists alike.",At dusk the city lights began to sparkle creating a magical atmosphere that captivated residents and tourists alike,dusk city light begin sparkle create magical atmosphere captivate resident tourist alike,False,
50,50,"    Along the cliff’s edge, intrepid climbers challenged themselves against nature’s vertical puzzle.",Along the cliffs edge intrepid climbers challenged themselves against nature's vertical puzzle,cliff edge intrepid climber challenge vertical puzzle,False,
51,51,    A picturesque village sat beside a sparkling lake.,A picturesque village sat beside a sparkling lake,picturesque village sit sparkling lake,False,
52,52,"    Across the bustling metropolis, public parks served as tranquil oases, offering a respite from urban life.",Across the bustling metropolis public parks served as tranquil oases offering a respite from urban life,bustle metropolis public park serve tranquil oasis offer respite urban life,False,
53,53,"    Within the hallowed halls of the cathedral, each stained glass window depicted a biblical narrative.",Within the hallowed halls of the cathedral each stained glass window depicted a biblical narrative,hallowed hall cathedral stain glass window depict biblical narrative,False,
54,54,"    Within the parameters of the clinical trial, ethical considerations guided the researchers in their methods and analyses.",Within the parameters of the clinical trial ethical considerations guided the researchers in their methods and analyses,parameter clinical trial ethical consideration guide researcher method analysis,False,
55,55,"    With the setting sun casting long shadows, the city's skyline appeared like a silhouette painting of urban life.",With the setting sun casting long shadows the city's skyline appeared like a silhouette painting of urban life,set sun cast long shadow city skyline appear silhouette painting urban life,False,
56,56,    The art installation included a series of interactive exhibits designed to engage all five senses.,The art installation included a series of interactive exhibits designed to engage all five senses,art installation include series interactive exhibit design engage sense,False,
57,57,    The mysterious artifact puzzled even experienced archaeologists.,The mysterious artifact puzzled even experienced archaeologists,mysterious artifact puzzle experienced archaeologist,False,
58,58,    The museum showcased historical relics and fascinating stories.,The museum showcased historical relics and fascinating stories,museum showcase historical relic fascinating story,False,
59,59,"    Inside the well-stocked pantry, spices from around the world hinted at the culinary adventures that awaited.",Inside the well-stocked pantry spices from around the world hinted at the culinary adventures that awaited,stock pantry spice world hint culinary adventure await,False,
60,60,"    Throughout the festival, street performers entertained crowds with an array of juggling and acrobatic acts.",Throughout the festival street performers entertained crowds with an array of juggling and acrobatic acts,festival street performer entertain crowd array juggling acrobatic act,False,
61,61,"    Within the chemistry lab, the ongoing experiments offered a glimpse into the molecular foundations of life.",Within the chemistry lab the ongoing experiments offered a glimpse into the molecular foundations of life,chemistry lab ongoing experiment offer glimpse molecular foundation life,False,
62,62,"    In a secluded section of the art gallery, a single masterpiece was spotlighted, drawing everyone's attention.","In a secluded section of the art gallery a single masterpiece was spotlighted, drawing everyone's attention",secluded section art gallery single masterpiece spotlight draw attention,False,
63,63,"    Among the scenic drives, the coastal route stood out for its stunning ocean views.",Among the scenic drives the coastal route stood out for its stunning ocean views,scenic drive coastal route stand stunning ocean view,False,
64,64,    She found the ancient artifact while excavating the historical site.,She found the ancient artifact while excavating the historical site,find ancient artifact excavate historical site,False,
65,65,"    An abundance of wildlife roamed the national park, offering a glimpse into the complexities of the ecosystem.",An abundance of wildlife roamed the national park offering a glimpse into the complexities of the ecosystem,abundance wildlife roam national park offer glimpse complexity ecosystem,False,
66,66,"    Within the elegant tearoom, each blend of tea came with a description of its origin and flavor profile.",Within the elegant tearoom each blend of tea came with a description of its origin and flavor profile,elegant tearoom blend tea come description origin flavor profile,False,
67,67,    His incredible speed made him a star sprinter.,His incredible speed made him a star sprinter,incredible speed star sprinter,False,
68,68,"    Among the telescopes at the observatory, each offered a different window into the cosmic tapestry.",Among the telescopes at the observatory each offered a different window into the cosmic tapestry,telescope observatory offer different window cosmic tapestry,False,
69,69,"    Within the complex ecosystem of the jungle, each species played a crucial role in maintaining balance.",Within the complex ecosystem of the jungle each species played a crucial role in maintaining balance,complex ecosystem jungle specie play crucial role maintain balance,False,
70,70,"    In the mirrored hallways of the funhouse, distorted reflections offered a surreal, disorienting experience.",In the mirrored hallways of the funhouse distorted reflections offered a surreal disorienting experience,mirror hallway funhouse distort reflection offer surreal disorient experience,False,
71,71,"    Within the architectural marvel of the opera house, each detail was designed for aesthetic and acoustic perfection.",Within the architectural marvel of the opera house each detail was designed for aesthetic and acoustic perfection,architectural marvel opera house detail design aesthetic acoustic perfection,False,
72,72,"    Among the columns of the ancient temple, echoes of devotion and ritual were engraved in the worn stone.",Among the columns of the ancient temple echoes of devotion and ritual were engraved in the worn stone,column ancient temple echo devotion ritual engrave wear stone,False,
73,73,"    Within the realm of quantum physics, particles and waves defied the laws of classical mechanics.",Within the realm of quantum physics particles and waves defied the laws of classical mechanics,realm quantum physics particle wave defy law classical mechanic,False,
74,74,"    Along the rows of the vineyard, each grape variety thrived in its own microclimate, contributing to the final blend.","Along the rows of the vineyard each grape variety thrived in its own microclimate, contributing to the final blend",row vineyard grape variety thrive microclimate contribute final blend,False,
75,75,    The skyline looked stunning against the setting sun.,The skyline looked stunning against the setting sun,skyline look stunning set sun,False,
76,76,"    Candles flickered softly, illuminating the romantic dinner setting.",Candles flickered softly illuminating the romantic dinner setting,candle flicker softly illuminate romantic dinner set,False,
77,77,    Handwritten letters conveyed emotions better than digital messages.,Handwritten letters conveyed emotions better than digital messages,handwritten letter convey emotion well digital message,False,
78,78,"    In the front rows of the fashion show, critics scrutinized each garment, contemplating the boundaries of style.",In the front rows of the fashion show critics scrutinized each garment contemplating the boundaries of style,row fashion critic scrutinize garment contemplate boundary style,False,
79,79,"    Along the riverbank, a patchwork quilt of wildflowers adorned the landscape, signaling the arrival of spring.",Along the riverbank a patchwork quilt of wildflowers adorned the landscape signaling the arrival of spring,riverbank patchwork quilt wildflower adorn landscape signal arrival spring,False,
80,80,"    Renowned for its cuisine, the restaurant was always packed.",Renowned for its cuisine the restaurant was always packed,renowne cuisine restaurant pack,False,
81,81,"    On Halloween, imaginative costumes filled the streets.",On halloween imaginative costumes filled the streets,imaginative costume fill street,False,
82,82,"    A cloud of butterflies took flight, adding a whimsical element to the already enchanting garden.",A cloud of butterflies took flight adding a whimsical element to the already enchanting garden,cloud butterfly take flight add whimsical element enchanting garden,False,
83,83,"    With its soaring arches and intricate mosaics, the cathedral was a masterpiece of Gothic architecture.",With its soaring arches and intricate mosaics the cathedral was a masterpiece of Gothic architecture,soar arch intricate mosaic cathedral masterpiece gothic architecture,False,
84,84,"    Among the vendor stalls, a myriad of scents wafted through the air, each representing a different culinary world.",Among the vendor stalls a myriad of scents wafted through the air each representing a different culinary world,vendor stall myriad scent waft air represent different culinary world,False,
85,85,"    An inspiring mentor, he guided many to success.",An inspiring mentor he guided many to success,inspiring mentor guide success,False,
86,86,"    With its labyrinthine corridors and hidden alcoves, the ancient castle invited explorers to unravel its many secrets.",With its labyrinthine corridors and hidden alcoves the ancient castle invited explorers to unravel its many secrets,labyrinthine corridor hide alcove ancient castle invite explorer unravel secret,False,
87,87,"    Flanked by majestic mountain ranges, the idyllic valley was a popular destination for outdoor enthusiasts.",Flanked by majestic mountain ranges the idyllic valley was a popular destination for outdoor enthusiasts,flank majestic mountain range idyllic valley popular destination outdoor enthusiast,False,
88,88,"    Around the oval track, athletes pushed their physical limits, each striving for a personal best.",Around the oval track athletes pushed their physical limits each striving for a personal best,oval track athlete push physical limit strive personal good,False,
89,89,"    In a dramatic finale, the fireworks display lit up the sky, drawing gasps of awe from the crowd.",In a dramatic finale the fireworks display lit up the sky drawing gasps of awe from the crowd,dramatic finale firework display light sky draw gasp awe crowd,False,
90,90,"    A collection of rare manuscripts lined the library's walls, a treasure trove for researchers and historians.",A collection of rare manuscripts lined the library's walls a treasure trove for researchers and historians,collection rare manuscript line library wall treasure trove researcher historian,False,
91,91,"    Amid a collection of vintage cars, a cherry-red convertible caught the eye of enthusiasts.",Amid a collection of vintage cars a cherry-red convertible caught the eye of enthusiasts,collection vintage car cherry red convertible catch eye enthusiast,False,
92,92,"    Inside the cozy confines of the quilt shop, fabrics of varying patterns and textures awaited creative hands.",Inside the cozy confines of the quilt shop fabrics of varying patterns and textures awaited creative hands,cozy confine quilt shop fabric vary pattern texture await creative hand,False,
93,93,"    A culinary wizard, she turned simple ingredients into magic.",A culinary wizard she turned simple ingredients into magic,culinary wizard turn simple ingredient magic,False,
94,94,"    At the bustling job fair, recruiters and job seekers engaged in a dynamic exchange of opportunities and aspirations.",At the bustling job fair recruiters and job seekers engaged in a dynamic exchange of opportunities and aspirations,bustling job fair recruiter job seeker engage dynamic exchange opportunity aspiration,False,
95,95,"    Enthusiastic fans filled the stadium, eager for the match to begin.",Enthusiastic fans filled the stadium eager for the match to begin,enthusiastic fan fill stadium eager match begin,False,
96,96,"    The aquarium featured a walk-through tunnel, allowing visitors to experience marine life from an immersive perspective.",The aquarium featured a walkthrough tunnel allowing visitors to experience marine life from an immersive perspective,aquarium feature walkthrough tunnel allow visitor experience marine life immersive perspective,False,
97,97,"    Across the span of the historic bridge, countless tales of travel and trade have unfolded.",Across the span of the historic bridge countless tales of travel and trade have unfolded,span historic bridge countless tale travel trade unfold,False,
98,98,"    Surrounded by steep cliffs, the remote beach could only be accessed by boat or a challenging hike.",Surrounded by steep cliffs the remote beach could only be accessed by boat or a challenging hike,surround steep cliff remote beach access boat challenging hike,False,
99,99,"    Astonishingly, the child prodigy mastered several musical instruments.",astonishingly the child prodigy mastered several musical instruments,astonishingly child prodigy master musical instrument,False,
100,100,"    Among the exotic fruit on display, the dragon fruit stood out with its vibrant colors and unique texture.",Among the exotic fruit on display the dragon fruit stood out with its vibrant colors and unique texture,exotic fruit display dragon fruit stand vibrant color unique texture,False,
101,101,"    From the top-floor penthouse, an exclusive elevator provided direct access to the building’s luxurious amenities.",From the top-floor penthouse an exclusive elevator provided direct access to the buildings luxurious amenities,floor penthouse exclusive elevator provide direct access building luxurious amenity,False,
102,102,"    Under the bright lights, professional gamers competed in a high-stakes tournament.",Under the bright lights professional gamers competed in a high-stakes tournament,bright light professional gamer compete high stake tournament,False,
103,103,"    On the interactive digital platform, users could customize their experience through a range of settings and preferences.",On the interactive digital platform users could customize their experience through a range of settings and preferences,interactive digital platform user customize experience range setting preference,False,
104,104,"    Overlooking the bay, the observation deck provided telescopes for a closer look at passing ships and marine life.",Overlooking the bay the observation deck provided telescopes for a closer look at passing ships and marine life,overlook bay observation deck provide telescope close look pass ship marine life,False,
105,105,"    With its lush fairways and challenging hazards, the golf course attracted players of all skill levels.",With its lush fairways and challenging hazards the golf course attracted players of all skill levels,lush fairway challenge hazard golf course attract player skill level,False,
106,106,    A corn maze provided seasonal family entertainment.,A corn maze provided seasonal family entertainment,corn maze provide seasonal family entertainment,False,
107,107,"    As the chess match unfolded, spectators marveled at the strategic depth and tactical maneuvers executed by both players.",As the chess match unfolded spectators marveled at the strategic depth and tactical maneuvers executed by both players,chess match unfold spectator marvel strategic depth tactical maneuver execute player,False,
108,108,"    For adrenaline junkies, the amusement park’s latest ride offered a combination of dizzying heights and steep drops.",For adrenaline junkies the amusement parks latest ride offered a combination of dizzying heights and steep drops,adrenaline junkie amusement park late ride offer combination dizzying height steep drop,False,
109,109,"    Over the course of the conference, professionals from different disciplines came together to discuss innovative solutions.",Over the course of the conference professionals from different disciplines came together to discuss innovative solutions,course conference professional different discipline come discuss innovative solution,False,
110,110,"    From the summit of the volcano, the sight of molten lava offered a thrilling yet dangerous spectacle.",From the summit of the volcano the sight of molten lava offered a thrilling yet dangerous spectacle,summit volcano sight molten lava offer thrilling dangerous spectacle,False,
111,111,    Gourmet chefs prepared a feast of exotic dishes.,Gourmet chefs prepared a feast of exotic dishes,chef prepare feast exotic dish,False,
112,112,"    The antique store offered an eclectic mix of items, from vintage furniture to collectible trinkets.",The antique store offered an eclectic mix of items from vintage furniture to collectible trinkets,antique store offer eclectic mix item vintage furniture collectible trinket,False,
113,113,"    Amid the aisles of the toy store, endless varieties of playthings catered to the imaginations of young and old.",Amid the aisles of the toy store endless varieties of playthings catered to the imaginations of young and old,aisle toy store endless variety plaything cater imagination young old,False,
114,114,"    Among the sculptures in the exhibition, materials ranging from bronze to ice told stories through form.",Among the sculptures in the exhibition materials ranging from bronze to ice told stories through form,sculpture exhibition material range bronze ice tell story form,False,
115,115,    The vintage car gleamed after hours of meticulous restoration.,The vintage car gleamed after hours of meticulous restoration,vintage car gleam hour meticulous restoration,False,
116,116,"    Each year, the festival of lights transformed the cityscape with a mesmerizing display of illuminated installations.",Each years the festival of lights transformed the cityscape with a mesmerizing display of illuminated installations,year festival light transform cityscape mesmerizing display illuminated installation,False,
117,117,"    Inside the cozy bookshop, handwritten staff recommendations guided readers toward their next literary escape.",Inside the cozy bookshop handwritten staff recommendations guided readers toward their next literary escape,cozy bookshop handwritten staff recommendation guide reader literary escape,False,
118,118,"    With a breathtaking view from the mountain summit, one could see the rolling hills stretched out like a quilt.",With a breathtaking view from the mountain summit one could see the rolling hills stretched out like a quilt,breathtaking view mountain summit roll hill stretch quilt,False,
119,119,"    At the podium, she spoke with confidence and poise.",At the podium she spoke with confidence and poised,podium speak confidence poise,False,
120,120,    A newly published research paper challenged conventional scientific beliefs.,A newly published research paper challenged conventional scientific beliefs,newly publish research paper challenge conventional scientific belief,False,
121,121,    A gorgeous bouquet sat in the middle of the dining table.,A gorgeous bouquet sat in the middle of the dining table,gorgeous bouquet sit middle dining table,False,
122,122,"    Around the circle of the drum, tension was adjusted to produce different pitches and timbres.",Around the circle of the drum tension was adjusted to produce different pitches and timbers,circle drum tension adjust produce different pitch timber,False,
123,123,"    During the ceremony, heartfelt speeches moved the audience.",During the ceremony heartfelt speeches moved the audience,ceremony heartfelt speech move audience,False,
124,124,"    Brilliant engineers built a sustainable, eco-friendly community.",Brilliant engineers built a sustainable eco-friendly community,brilliant engineer build sustainable friendly community,False,
125,125,"    On the architect's drafting table, blueprints held the promise of structures yet to exist.",On the architect's drafting table blueprints held the promise of structures yet to exist,architect drafting table blueprint hold promise structure exist,False,
126,126,"    With a panoramic lens, the photographer captured the sweep of the bustling bazaar in a single shot.",With a panoramic lens the photographer captured the sweep of the bustling bazaar in a single shot,panoramic lens photographer capture sweep bustle bazaar single shot,False,
127,127,    The couple exchanged vows under a floral archway.,The couple exchanged vows under a floral archway,couple exchange vow floral archway,False,
128,128,    Sculptures in the park added an artistic touch to nature.,Sculptures in the park added an artistic touch to nature,sculpture park add artistic touch nature,False,
129,129,"    Through the hallways of the art school, a cacophony of visual styles competed for attention and interpretation.",Through the hallways of the art school a cacophony of visual styles competed for attention and interpretation,hallway art school cacophony visual style compete attention interpretation,False,
130,130,    The lecture provided valuable insights into social dynamics.,The lecture provided valuable insights into social dynamics,lecture provide valuable insight social dynamic,False,
131,131,"    As a culinary enthusiast, he experimented with exotic ingredients.",As a culinary enthusiasts he experimented with exotic ingredients,culinary enthusiast experiment exotic ingredient,False,
132,132,"    On the red carpet, celebrities showcased an array of designer outfits, each a unique work of art.",On the red carpet celebrities showcased an array of designer outfits each a unique work of art,red carpet celebrity showcase array designer outfit unique work art,False,
133,133,"    In the depths of winter, the sight of snowflakes dancing down from a charcoal sky captivated all who observed.",In the depths of winter the sight of snowflakes dancing down from a charcoal sky captivated all who observed,depth winter sight snowflake dance charcoal sky captivate observe,False,
134,134,"    On the global stage of diplomacy, nuanced language and symbolic gestures carried significant weight.",On the global stage of diplomacy nuanced language and symbolic gestures carried significant weight,global stage diplomacy nuanced language symbolic gesture carry significant weight,False,
135,135,"    At the film set, meticulously designed props and costumes contributed to the period drama’s authenticity.",At the film set meticulously designed props and costumes contributed to the period dramas authenticity,film set meticulously design prop costume contribute period drama authenticity,False,
136,136,"    Throughout the lengthy novel, subplots and minor characters enriched the main narrative, adding depth and complexity.",Throughout the lengthy novel subplot and minor characters enriched the main narrative adding depth and complexity,lengthy novel subplot minor character enrich main narrative add depth complexity,False,
137,137,"    In the garden, tulips and daffodils announced spring's arrival.",In the garden tulips and daffodils announced spring's arrival,garden tulip daffodil announce spring arrival,False,
138,138,"    Throughout the ornate mosque, Islamic art and architecture combined in a symphony of visual beauty.",Throughout the ornate mosque Islamic art and architecture combined in a symphony of visual beauty,ornate mosque islamic art architecture combine symphony visual beauty,False,
139,139,"    Amid the stacks of vinyl records, the passionate collector found rare editions that evoked nostalgic memories.",Amid the stacks of vinyl records the passionate collector found rare editions that evoked nostalgic memories,stack vinyl record passionate collector find rare edition evoke nostalgic memory,False,
140,140,    A sequence of interconnected lagoons created a natural playground for snorkelers and divers.,A sequence of interconnected lagoons created a natural playground for snorkelers and divers,sequence interconnect lagoon create natural playground snorkeler diver,False,
141,141,"    The tropical resort boasted a variety of amenities, from a lavish spa to oceanfront villas.",The tropical resort boasted a variety of amenities from a lavish spa to oceanfront villas,tropical resort boast variety amenity lavish spa oceanfront villa,False,
142,142,"    Along the vibrant city streets, street performers and musicians entertained passersby with acts of skill and artistry.",Along the vibrant city streets street performers and musicians entertained passersby with acts of skill and artistry,vibrant city street street performer musician entertain passersby act skill artistry,False,
143,143,"    Behind the facade of the colonial mansion, generations of family history resided in heirlooms and portraits.",Behind the facade of the colonial mansion generations of family history resided in heirlooms and portraits,facade mansion generation family history reside heirloom portrait,False,
144,144,"    Throughout the weeklong workshop, aspiring writers honed their craft under the guidance of seasoned professionals.",Throughout the weeklong workshop aspiring writers honed their craft under the guidance of seasoned professionals,weeklong workshop aspiring writer hone craft guidance seasoned professional,False,
145,145,"    Throughout the sprawling estate, themed gardens displayed the meticulous care of generations of horticulturists.",Throughout the sprawling estate themed gardens displayed the meticulous care of generations of horticulturist,sprawl estate theme garden display meticulous care generation horticulturist,False,
146,146,    They found a rare fossil during the archaeological dig.,They found a rare fossil during the archaeological dig,find rare fossil archaeological dig,False,
147,147,"    With every chess move, he displayed tactical brilliance.",With every chess move he displayed tactical brilliance,chess display tactical brilliance,False,
148,148,    A cheerful group of friends enjoyed a day at the beach.,A cheerful group of friends enjoyed a day at the beach,cheerful group friend enjoy day beach,False,
149,149,    Athletic prowess was evident in his every move on the field.,Athletic prowess was evident in his every move on the field,athletic prowess evident field,False,
150,150,    The essay delved into the nuances of human psychology.,The essay delved into the nuances of human psychology,essay delve nuance human psychology,False,
151,151,"    During the intense chess tournament, every move on the board had far-reaching implications, like ripples in a pond.",During the intense chess tournament every move on the board had far-reaching implications like ripples in a pond,intense chess tournament board far reach implication ripple pond,False,
152,152,"    Guests wandered through the hedge maze, their faces reflecting a mixture of bewilderment and fascination.",Guests wandered through the hedge maze their faces reflecting a mixture of bewilderment and fascination,guest wander hedge maze face reflect mixture bewilderment fascination,False,
153,153,"    In the arboretum, a variety of native and exotic trees provided a living archive of botanical diversity.",In the arboretum a variety of native and exotic trees provided a living archive of botanical diversity,variety native exotic tree provide live archive botanical diversity,False,
154,154,"    Around the bustling bazaar, an unspoken bartering system existed, each transaction an intricate dance.",Around the bustling bazaar an unspoken bartering system existed each transaction an intricate dance,bustle bazaar unspoken bartering system exist transaction intricate dance,False,
155,155,"    Around the communal bonfire, people of all ages celebrated the autumn harvest with song and dance.",Around the communal bonfire people of all ages celebrated the autumn harvest with song and dance,communal bonfire people age celebrate autumn harvest song dance,False,
156,156,"    At the crowded music festival, attendees chose from multiple stages, each offering a different genre and vibe.",At the crowded music festival attendees chose from multiple stages each offering a different genre and vibe,crowded music festival attendee choose multiple stage offer different genre vibe,False,
157,157,"    The fishing village offered an authentic experience, complete with boats docked along the picturesque harbor.",The fishing village offered an authentic experience complete with boats docked along the picturesque harbor,fishing village offer authentic experience complete boat dock picturesque harbor,False,
