,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len
10,19,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,7,"Beloved Christians , we are even now to receive and entertaine the Prince of Heaven , and the Son of God ; let us therefore cleanse the inward roomes of our soules by examination of our whole life , wash them with the water of our penitent teares , dresse them up with divine graces , which are the sweetest flowers of Paradise , perfume them with most fragrant spices and aromaticall odours , which are our servent prayers , zealous meditations , and elevated affectious , tuned to that high straine of the sweet Singer of Israel , Lift ye up , ye gates , and be yeqlift up , ye everlasting doores , and the King of glory shall come in .",aromaticall spices our servent prayers zealous meditations elevated affectious perfume fragrant odours,Olfactive,Quality,124
11,22,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,106,"The tide not being now let in from the river either so often or so abundantly as formerly , the water in the remote ramifications of the stream scarcely covers the mud , is hardly ever properly renewed , stagnates , and putrifies .",the water putrifies,Olfactive,Smell\_Source,44
12,24,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,110,"Latreille , whose house is situated near the outlet into the Thames , have much suffered in health from the stenches generated when the pond is emptied .",stenches,Olfactive,Smell\_Word,28
13,25,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,111,"I consider the King's Mills Stream a nuisance of the worst kind , and as many complaints have been made to me about it , I thought it advisable to bring it at once under the notice of this Vestry .",of the worst kind the King's Mills Stream nuisance,Olfactive,Quality,41
14,28,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,112,"In Wellington-street , Albion-street , there is , after rain , a pool of stagnant water , from which , during the hot weather , a disagreeable stench arises .",disagreeable a pool of stagnant water which stench,Olfactive,Quality,30
15,31,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,116,"The drainage of these two dwellings runs from the back to the front , through an open wooden trough under the floor of the lower rooms , and discharges itself by a sort of pigeon-hole in the wall into the street ; the neighbours and passengers complain of the stench generated by the drainage stagnating on the pavement and in the gutter .",the drainage stagnating on the pavement and in the gutter stench,Olfactive,Smell\_Source,63
16,33,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,120,"As almost every yard is inundated from the overflowing of the cesspool , and in one or two cases , the filth is literally penetrating into the ground floor of the houses , every breath inhaled by the inmates must be charged with the effluvia arising from the liquid pollution .",from the liquid pollution effluvia,Olfactive,Smell\_Source,51
17,35,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,128,"The rape and linseed fall from the bags on to the ground , which is unpaved , lie there and rot ; and after a shower of rain , the stench is most offensive .",most offensive stench,Olfactive,Quality,35
18,37,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,14,"Gentlemen , Complaints are being continually made by the inhabitants of Rotlierhithe-street , from the southern extremity of Swan-lane to the \ 	_	_	_	
14-24	1320-1325	Horns	_	_	_	
14-25	1325-1326	,	_	_	_	
14-26	1326-1327	\	_	_	_	
14-27	1327-1328	 of the foul smells which they have been obliged to endure for some time past .",foul smells,Olfactive,Quality,61
19,39,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,15,"Nor are these complaints without foundation ; for in the above mentioned length of Street , about a mile , there are , besides the Surrey Consumer's Gas Works , no less than nine factories for the fabrication of patent manure , that is to say , nine sources of fetid gases .",gases fetid nine factories for the fabrication of patent manure,Olfactive,Odour\_Carrier,53
20,42,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,16,"When these factories are in full activity , as they are from the month of December to July , the stores of stinking ingredients used by the manufacturers , 9 give a permanent smell to some parts of the street , and when the mixing goes on , the action of the sulphuric acid upon the animal and vegetable matter gives out a stench , which has occasioned headache , nausea , vomiting and cough to some of the inmates of the houses adjacent to the factories .",stinking permanent ingredients smell stench,Olfactive,Quality,88
21,45,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,164,"The pipe also conveying the solid and liquid matter down to a drain under the flooring of the houses is leaky , and the lower part of the houses , more especially of No . 4 , is often covered with liquid sewage , and smells abominably .",abominably liquid sewage smells,Olfactive,Quality,48
22,48,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,171,"In the course of time the ditch has become full of stagnant sewage , and the stenches arising therefrom during the summer caused annoyance to the dwellers in Berkeley-street and Chester-terrace .",stagnant sewage stenches,Olfactive,Smell\_Source,32
23,50,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,2,"The stench was so great , that several of the inmates of the houses applied personally to me to get it abated .",so great stench,Olfactive,Quality,23
24,52,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,202,"Even a short time ago , they had no water , but from a tidal pump , and the liquid after standing a few hours , smelt as I said in one of my former reports — as if it had been dipped from a sewer .",as if it had been dipped from a sewer the liquid smelt,Olfactive,Evoked\_Odorant,47
25,55,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,212,"At 28 , Princes Street , besides a full cesspool , and a choked drain , there is in the washhouse , a pool of stagnant sewage . 21 All the inmates of the place , complain of sickness and headache ' and a woman employed to wash clothes on the premises , was ' from the effect of the stench , suddenly seized with vomiting and purging , and forced to leave her work .",a pool of stagnant sewage stench,Olfactive,Smell\_Source,76
26,57,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,247,"Gentlemen , Variocs complaints having been made to me , by inhabitants of the part of Rotherhithe called Jamaica Level , and by owners of property in that district , of an intolerable nuisance occasioned by the casting of the mud of the mill-stream near the houses .",intolerable nuisance,Olfactive,Quality,48
27,59,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,25,"The Dodds-place ditch is in a filthy state ; when cast during the last month , the effluvium arising from it caused great annoyance to the neighbourhood .",effluvium,Olfactive,Smell\_Word,28
28,60,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,252,"Although the weather was cold at the time of my examinations , this accumulation of solid sewage , the settlings of a quarter of a century or more , exhaled a faint , sickening smell .",faint sickening this accumulation of solid sewage smell,Olfactive,Quality,36
29,63,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,253,No nuisance is more likely to generate disease than such a mass of decomposing organic filth .,such a mass of decomposing organic filth nuisance,Olfactive,Smell\_Source,17
30,65,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,254,"Ague and typhoid fever are likely to be engendered from such a cause , there being no fact in the whole range of medical science more clearly established , and more universally admitted , than that the effluvium . from , the mud of ponds and ditches is a subtile poison , always injurious , and often fatal , to the human constitution .","from , the mud of ponds and ditches effluvium",Olfactive,Smell\_Source,64
31,67,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,265,"However undesirable draining into open ditches may be , in the abovementioned case , it would be infinitely preferable to what at present exists , by carrying the sewage further away from the dwellings , and into an open space , where the effluvia becoming diluted would , in all probability , be harmless . 24 An open ditch , beginning by a dead head at the southern extremity of Berkeley-street , after running a course of about two hundred and fifty or three hundred yards , discharges itself into the sewer in Swan-lane .",the sewage effluvia,Olfactive,Smell\_Source,95
32,69,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,266,"The ditch itself is clean and without smell , and receives the drainage of ten small houses .",The ditch smell,Olfactive,Smell\_Source,18
33,71,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,276,"The worst kinds of effluvia are generated by the action of sulpuric acid upon raw bones , blood , pieces of skin , soot , sugarscum , and such-like ingredients .","The worst kinds of by the action of sulpuric acid upon raw bones , blood , pieces of skin , soot , sugarscum , and such-like ingredients effluvia",Olfactive,Quality,31
34,74,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,277,"A strong acid smell also always pervades the atmosphere in the neighbourhood of the factories , while the mixing is going on .",the atmosphere strong acid smell,Olfactive,Odour\_Carrier,23
35,77,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,28,"On the 30th June about one o'clock p.m . , the unpleasant smell of the vapour of linseed oil extended for a considerable distance round the arches occupied by Messrs .",of the vapour unpleasant of linseed oil smell,Olfactive,Odour\_Carrier,31
36,81,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,294,"In consequence of a letter addressed to me in the beginning of the month , complaining of the stenches emanating from the premises of Messrs .",stenches,Olfactive,Smell\_Word,26
37,82,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,296,"The men were making manure in open vessels , and the smell in the street was so offensive , that remarks thereon were uttered by almost every passenger .",so offensive manure in open vessels smell,Olfactive,Quality,29
38,85,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,298,"To conclude , 1 am of opinion that patent manure may be made in properly closed vessels without nuisance , and that all manufacturers of that article , whose premises are offensive to the neighbouring inhabitants , should be compelled to erect proper machinery for conducting the operation of mixing in such a manner that the fetid gases exhaled therefrom be carried into a high shaft , and if they are still found to be a nuisance , that they be burned by passing through a coke fire before escaping into the air .",gases patent manure therefrom fetid,Olfactive,Odour\_Carrier,94
39,88,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,299,"A statement was made at the last meeting of this Board , that foul smells , injurious to the health of the neighbours , were given out from the premises 47 and 48 , Lower Queen-street , and that 26 after rain , there existsd in the back yards , pools of stagnant water .",foul pools of stagnant water smells,Olfactive,Quality,55
40,91,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,302,"The yards in other respects are clean and orderly , I never could perceive any foul smell , or did I observe any pool of stagnant water , and in this statement I am borne out by the testimony of the Surveyor and other Officers of this Vestry .",foul pool of stagnant water smell,Olfactive,Quality,49
41,94,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,33,"An overpowering stench was perceived in and about the Tunnel-square , on the morning of Wednesday , the 24th June .",overpowering stench,Olfactive,Quality,21
42,96,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,35,"I therefore made it my business to visit those works repeatedly , and to spend some hours on the 10 promises ; I must premise by stating , that no means has yet been discovered of carrying on the process of gas-making without offensive odours .",offensive odours,Olfactive,Quality,46
43,98,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,38,"I caused a purifier , containing dry lime , and another , containing the sulphate of iron to be stirred up in my presence ; I perceived nothing more than the ordinary smell of gas , and that not so strongly as I expected . 1 mentioned in my first Report , that sulphate of ammonia is fabricated on the premises , and described the process .",ordinary so strongly of gas smell that,Olfactive,Quality,67
44,101,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,45,"A slight effluvium of sulphurous gases was given off , but it did not last long nor extend itself beyond the building .",slight of sulphurous gases effluvium,Olfactive,Quality,23
45,104,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,57,I tasted the water from the butt at No . 21 ; it was strongly impregnated with the flavour of drainage .,the water from the butt it with the flavour of drainage impregnated,Olfactive,Odour\_Carrier,22
46,107,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,66,"During the hot weather , this heap exhaled a smell most offensive to the inmates of the neighbouring houses .",most offensive this heap smell,Olfactive,Quality,20
47,110,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,67,I entered one of them ; the stench in the sitting room was worse than that of a privy .,worse than that of a privy stench,Olfactive,Quality,20
48,112,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,77,"The inhalation of the pestilential vapours arising from such a nuisance had , at the time of my visit , already begun its work .",vapours pestilential,Olfactive,Odour\_Carrier,25
49,114,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,80,"The stench from two street gullies in Clarence-street , has been much complained of , I beg to submit the propriety of trapping them , to the favourable consideration of the Board .",stench,Olfactive,Smell\_Word,33
50,115,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,81,"The putrid smell of the Thames water has been noted in several of the public papers , and among others , in the weekly reports of the Registrar-general , and has undoubtedly , been remarked by many of the gentlemen here present . 1 must again mention that the large population of Hanover-street , have no water supply except from a tidal rcell , and unless they content themselves with stinking Thames water , must beg or steal all they.consume .",putrid stinking of the Thames water Thames water smell,Olfactive,Quality,81
51,118,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,82,"On the ' 27th July , I examined some of the water 13 from the well , it smelt as if it had been recently dipped from a sewer .",as if it had been recently dipped from a sewer some of the water 13 it smelt,Olfactive,Evoked\_Odorant,30
52,121,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,89,"The only stench perceived by me on the 27th July , was a strong odour of sugar scum issuing from some of the arches .",strong of sugar scum stench odour,Olfactive,Quality,25
53,124,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,90,Complaints have been often made of the smell of the mud of the mill-stream between Mill-pond Bridge and the Surrey Mills .,of the mud of the mill-stream smell,Olfactive,Smell\_Source,22
54,126,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,1,"Irishmen who do me the honour of tasting this light omelette of scientific literature will have noticed , I am sure , that I have not included the sister isle in my olfactory paradise .",paradise olfactory,Olfactive,Smell\_Source,35
55,128,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,10,"Let me , however , in justice to that grief-stricken country , spray a little perfume over my too pungent observations .",little perfume,Olfactive,Quality,22
56,130,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,13,"And linked in memory with that evening ’ s glory there comes , like the gentle strain of a long-forgotten song , the rich , pungent smell of turf-smoke eddying blue from low chimneys into the soft air of the twilight .",into the soft air of the twilight rich pungent of turf-smoke smell,Olfactive,Odour\_Carrier,42
57,134,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,18,Thence also comes a memory of heliotrope .,heliotrope,Olfactive,Evoked\_Odorant,8
58,135,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,19,"It grew by a cottage just beyond a grey granite fishing-harbour in Dublin Bay , and brings also , with its faint , ineffable fragrance , the same inseparable blending of emotions that clings , itself a never-dying odour , to the memory of holidays 5in Ireland .",faint ineffable never-dying fragrance odour,Olfactive,Quality,48
59,137,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,23,"It is an historical fact that the movement which rendered England the pioneer country in the matter of Public Health received its first impulse from , and even now owes its continued existence to , the simple accident that the English public has grown intolerant of over-obtrusive odours .",over-obtrusive odours,Olfactive,Quality,49
60,139,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,24,"Stenches have attained to the dignity of a legal topic of interest , and are now by Act of Parliament become “ nuisances ” in law as well as in nature , with the result that they have been , for the most part , banished from the face of the land and the noses of its inhabitants .",Stenches,Olfactive,Smell\_Word,59
61,140,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,25,"The reason assigned by the man in the street for this reform was , and indeed still is , that stenches breed epidemic diseases .",stenches,Olfactive,Smell\_Word,25
62,141,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,26,"In a noisome smell people imagine a deadly pestilence , probably because patients affected with such epidemic diseases as smallpox , typhus , and diphtheria , give off nauseating odours .",noisome nauseating patients affected with such epidemic diseases smell odours,Olfactive,Quality,31
63,144,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,27,"Now , bad smells from drains and cesspools do not of themselves induce 6epidemic disease .",bad from drains and cesspools smells,Olfactive,Quality,16
64,147,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,28,"Nevertheless , there is this much of truth in the superstition , that where you have bad smells you have also surface accumulations of filth , and these , soaking through soil and subsoil , contaminate surface wells , until it only requires the advent of a typhoid or other “ carrier ” to set a widespread epidemic a-going .",bad smells,Olfactive,Quality,60
65,149,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,29,"Further , as recent investigators have shown us , the loathsome and deadly typhus fever , known for years to be a “ filth-disease , ” is carried by lice , which pests breed and flourish where bodily cleanliness is neglected and personal odours are strong .",personal strong odours,Olfactive,Quality,47
66,151,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,31,"But the point is , that the objection to bad smells preceded all those scientific discoveries and had , in the beginning , but a slender support from rationalism .",bad smells,Olfactive,Quality,30
67,153,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,39,"There is naturally a close and intimate connection between the sense of smell and the nerve-centres which , when stimulated , evoke the feeling of nausea in the mind—and the bodily acts that follow it .",smell,Olfactive,Smell\_Word,36
68,154,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,40,"We are here dealing , in fact , with a primitive protective impulse to ensure that evil-smelling things shall not be swallowed , and the means adopted by Nature to prevent that ingestion , or , if it has accidentally occurred , to reverse it , are prompt .",things evil-smelling,Olfactive,Smell\_Source,49
69,156,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,47,"A citizen of Cologne in Coleridge ’ s days , for example , must have been anosmic to most of the seven-and-twenty stenches that offended the Englishman , and in my own time I have counted as many as ten objectionable public perfumes , yea !",most of the seven-and-twenty as many as ten objectionable public anosmic stenches perfumes,Olfactive,Quality,46
70,158,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,49,"Several of these , perhaps , did not amount to more than a mere whiff , just the suspicion of a something unpleasant , no more ( but no less ) disturbing than , say , one note a semitone flat in a major chord ; two or three of them , however , to the sensitive , thin-winged organ of an English school-ma ’ am , would have attained to the rank of a “ smell , ” a word on her lips as emphatic as an oath on yours or mine ; four of them , at the least , were plain stenches , and so beyond her vocabulary altogether ; and one was—well !",mere plain Several of these two or three of them four of them whiff smell stenches,Olfactive,Quality,117
71,161,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,5,And there sticks horrible to my memory the fumous and steamy stench of parboiled cabbage that filled the restaurant-car of the train for Belfast—yes !,fumous steamy of parboiled cabbage stench,Olfactive,Quality,25
72,164,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,52,"Now , the people of Lucerne could never have smelled them , or at all events they could never 9have appreciated those perfumes as I did , or the town would have been evacuated .",them smelled perfumes,Olfactive,Smell\_Source,35
73,166,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,53,"Their olfactory sense compared with mine must have been a stupid thing , dense to begin with , and cudgelled by use and wont into blank insensibility .",sense olfactory,Olfactive,Smell\_Source,28
74,168,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,55,"And that avoidance is only possible in a country where odours are fine , etherealised , rare .",etherealised rare,Olfactive,Quality,18
75,169,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,56,"Even in France , France the enlightened , the sensitive , the refined , primitive odours pervade the country , as our Army knows very well .",primitive odours,Olfactive,Quality,27
76,171,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,58,"So that our Army authorities had to send round a peculiar petrol-engine , known to the Tommies as “ Stinking Willie , ” to empty those pools of corruption .",a peculiar petrol-engine Willie Stinking,Olfactive,Smell\_Source,30
77,173,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,60,From this we may surmise that the olfactory sense of our neighbours is not yet so sensitive as is ours .,olfactory so sensitive sense,Olfactive,Quality,21
78,175,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,62,"“ The East , ” ejaculated an old Scotsman once — “ the East is just a smell !",the East smell,Olfactive,Smell\_Source,19
79,177,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,66,"Who can ever forget the bazaar smells of India , the mingled must and fust with its background of garlic and strange vices , or the still more mysterious atmospheres of China with their deep suggestion of musk ?",mysterious of garlic strange vices with their deep suggestion of musk smells atmospheres,Olfactive,Quality,39
80,180,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,67,"Naturally the air of a cold country is clearer of obnoxious vapours than that of tropical and subtropical climes , but in spite of that , the first whiff of a Tibetan monastery , like that of an Eskimo hut , grips the throat , they say , like the air over a brewing vat .",like that of an Eskimo hut vapours first the air of a cold country of a Tibetan monastery obnoxious whiff,Olfactive,Evoked\_Odorant,56
81,185,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,69,"I may therefore , with justice , raise a song of praise to our fathers who have had our country thus swept and garnished , swept of noxious vapours and emanations , and garnished with the perfume of pure and fresh air , to the delight and invigoration of our souls .",vapours of pure and fresh air noxious emanations perfume,Olfactive,Odour\_Carrier,52
82,188,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,71,Up to the beginning of the nineteenth century the city of London “ was certainly as foul as could be .,foul,Olfactive,Smell\_Word,21
83,189,007E Dan McKenzie 1923 Aromatics and the soul__748_MED.txt,8,"it was the Irish Sea , and I stepped on to the train straight from the mail-boat , so that . . . in a word , I remember that luscious but washy odour too vividly to bestow upon Ireland the white flower of a stenchless life .",luscious washy life odour stenchless,Olfactive,Quality,48
84,192,008E Anon 1779 A short history of drugs.txt_distribution.txt,10,"Is a concrete gummy substance , of a strong faetid smell , resembling Onions , or rather Shallots , in small Drops or Tears ; but when packt forms a massy lump .",Onions Shallots strong faetid smell,Olfactive,Evoked\_Odorant,33
85,195,008E Anon 1779 A short history of drugs.txt_distribution.txt,107,AMBERGREASE .,AMBERGREASE,Olfactive,Smell\_Source,2
86,196,008E Anon 1779 A short history of drugs.txt_distribution.txt,108,"Is a bituminous Substance , almost as solid as Fullers-earth , chiefly found floating on the Sea , or on Shores ; it is a fine Perfume , of a greyish or Ash-colour , which is the best , and of great Value ; the black or dirty is ordinary , and if it is adulterated with Rosin , & c . a red hot Knitting Needle or Wire will discover it , as true Ambergrease will not melt by Heat : it chiefly comes from North-America .",fine it Perfume,Olfactive,Quality,88
87,199,008E Anon 1779 A short history of drugs.txt_distribution.txt,109,"BALM , or BALSAM of GILEAD .",BALM BALSAM of GILEAD,Olfactive,Smell\_Source,7
88,200,008E Anon 1779 A short history of drugs.txt_distribution.txt,111,"The true has a surprising odoriferous fragrant Smell , a pungent but very agreeable bitter astringent Taste , and of a turbid thickish Consistence , of a yellowish colour ; but so little has come these many Years , that a stranger must be very cautious how he buys it , as every Species of Turpentine will mix with it .",odoriferous fragrant Smell,Olfactive,Quality,61
89,202,008E Anon 1779 A short history of drugs.txt_distribution.txt,114,CASSIA MUNIAR .,CASSIA MUNIAR,Olfactive,Smell\_Source,3
90,203,008E Anon 1779 A short history of drugs.txt_distribution.txt,115,"Is a bulbous Root of the Zedoary kind , but more resembling in shape Turmerick ; it breaks of a fine Orange-colour , of a fragrant Smell , and aromatic Taste .",fragrant it Smell,Olfactive,Quality,32
91,206,008E Anon 1779 A short history of drugs.txt_distribution.txt,122,CIVET .,CIVET,Olfactive,Smell\_Source,2
