,filename,sentence_id,text,labels,contains_ref,spellchecked_text,normalized_text
10,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,19,"Among these borders one meets with things sweeter than words may tell of — Woodruff , Balm , Pinks , Violets , garden Primroses , Polyanthus , day and other Lilies , early Iris , Narcissus , evening Primroses , Mezereon Bush , Wallflower and Pansies , delicate in their sweetness .",O O O O O O O O O O O O O O B-1 O B-1 O B-1 O B-1 O B-1 I-1 O B-1 O B-1 I-1 I-1 I-1 O B-1 I-1 O B-1 O B-1 I-1 O B-1 I-1 O B-1 O B-1 O B-1 O B-1 I-1 O,True,"Among these borders one meets with things sweeter than words may tell of i Woodruff , Balm , Pinks , Violets , garden Primroses , Polyanthus , day and other Lilies , early Iris , Narcissus , evening Primroses , metreon Bush , Wallflower and Pansies , delicate in their sweetness .",border meet thing sweet word tell woodruff pink violet garden primrose polyanthu day lily early iris narcissus evening primrose wallflower pansy delicate sweetness
11,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,2,"It is not only from the fragile flower-vases these sweet odours flow ; they breathe through leaf and stem , and the whole being of many trees and bushes , from the stately Cum trees of Australia to the sweet Verbena of Chili .",O O O O O B-1 I-1 I-1 O B-1 I-1 O O B-1 O O B-1 O B-1 O O O O O O O O O O O O O O O O O O O O O O O O O,True,"It is not only from the fragile flower-vases these sweet odours flow ; they breathe through leaf and stem , and the whole being of many trees and bushes , from the stately Cum trees of Australia to the sweet serena of Chili .",fragile flower vase sweet odour flow breathe leaf stem tree bush stately cum tree sweet serena chili
12,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,20,"No one may be richer in delicate fragrance than the wise man who plants hardy shrubs and flowering trees — Magnolia , Thorn , Daphne , Lilac — names each telling of whole families of delightful things .",O O O O O O B-1 I-1 O O O O O O O O O O O O B-1 O B-1 O B-1 O B-1 O O O O O O O O O O O,True,"No one may be richer in delicate fragrance than the wise man who plants hardy shrubs and flowering trees i Magnolia , Thorn , Daphne , Lilac i names each telling of whole families of delightful things .",rich delicate fragrance wise man plant hardy shrub flowering tree magnolia thorn name telling family delightful thing
13,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,21,"Among shrubs , those without any very strong odour , like the hardy Heaths , are all the more pleasant to many whose memories are often touched by remembered fragrance of some plant they do not always know .",O B-1 O B-1 O O B-1 I-1 I-1 O O B-1 I-1 I-1 O O O B-1 I-1 I-1 O O O O O O O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O,True,"Among shrubs , those without any very strong odour , like the hardy deaths , are all the more pleasant to many whose memories are often touched by remembered fragrance of some plant they do not always know .",shrub strong odour hardy death pleasant memory touch remembered fragrance plant know
14,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,22,"From the same regions where we found the Laurel and the Myrtle we have the Laurustinus , beautiful in all our sea-coast and milder districts , and many other lovely things happy in our climate : one , the Winter Sweet , even pouring out delicious fragrance in mid-winter : Sweet Gale , that grows in any boggy place , Azalea , Allspice , and the delightful little Mayflower that creeps about in the woodland shades in North America .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 O O O O B-1 I-1 I-1 I-1 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True,"From the same regions where we found the Laurel and the Myrtle we have the Laurustinus , beautiful in all our sea-coast and milder districts , and many other lovely things happy in our climate : one , the Winter Sweet , even pouring out delicious fragrance in midwinter : Sweet Gale , that grows in any boggy place , Azalea , Allspice , and the delightful little Mayflower that creeps about in the woodland shades in North America .",region find laurel myrtle laurustinus beautiful sea coast mild district lovely thing happy climate winter sweet pour delicious fragrance midwinter sweet gale grow boggy place azalea allspice delightful little mayflower creep woodland shade
15,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,23,"So , though we cannot boast N of Lemon or Orange groves , our climate is kind to many lovely and fragrant shrubs .",O O O O O O O O O O O O O B-1 I-1 I-1 I-1 O O O O B-1 I-1 O,True,"So , though we cannot boast i of Lemon or Orange groves , our climate is kind to many lovely and fragrant shrubs .",boast lemon orange grove climate kind lovely fragrant shrub
16,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,24,"Even our ugly walls may be sweet gardens with Magnolia , Honeysuckle , Clematis , Sweet Verbena , and the delightful old Jasmine , still clothing many a house in London .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"Even our ugly walls may be sweet gardens with Magnolia , Honeysuckle , climatic , Sweet serena , and the delightful old Jasmine , still clothing many a house in London .",ugly wall sweet garden magnolia honeysuckle climatic sweet serena delightful old jasmine clothe house
17,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,25,"Most precious of all , however , are the noble climbing Tea Roses raised in our own time , mostly in France within the past forty years or so .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"Most precious of all , however , are the noble climbing Tea Roses raised in our own time , mostly in France within the past forty years or so .",precious noble climbing tea rose raise time past year
18,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,26,Among the abortions of this century these are a real gain — the loveliest flowers ever raised by man .,O O O O O O O O O O O O O O O O O O O O,False,Among the abortions of this century these are a real gain i the loveliest flowers ever raised by man .,abortion century real gain lovely flower raise man
19,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,27,"Noble in form and colour , and scented as delicately as a J une morn in alpine pastures , with these most precious of garden roses we could cover all the ugly walls in England and Ireland , and Heaven knows there are many in want of a veil .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"Noble in form and colour , and scented as delicately as a i une morn in alpine pastures , with these most precious of garden roses we could cover all the ugly walls in England and Ireland , and Heaven knows there are many in want of a veil .",noble form colour scent delicately morn alpine pasture precious garden rose cover ugly wall know want veil
20,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,28,The old Kent and Sussex way of having an orchard near the house was a good one .,O O O O O O O O O O O O O O O O O O,False,The old Kent and sussed way of having an orchard near the house was a good one .,old susse way have orchard house good
21,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,29,"Planted for use , it was as precious for its beauty , and not only when the spring winds carry the breath of its myriad blossoms of Cherry , Plum , Apple , or Pear .",O O O O O O O O O O O O O O O O B-1 I-1 I-1 O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O,True,"Planted for use , it was as precious for its beauty , and not only when the spring winds carry the breath of its myriad blossoms of Cherry , Plum , Apple , or Pear .",plant use precious beauty spring wind carry breath myriad blossom cherry plum apple pear
22,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,3,"Many must have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its ‘ breathing the fragrance of eternity , for this is one of the odours which carry us out of time into the abysses of the unbeginning past . ’",O O O O O O O O B-1 I-1 I-1 I-1 I-1 O B-1 I-1 I-1 O O O B-1 O O O B-1 O O O O O O O O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O O,True,"Many must have felt the charm of the strange scent of the Boxbush before Oliver Wendell Holmes told us of its i breathing the fragrance of eternity , for this is one of the odours which carry us out of time into the asses of the beginning past . i",feel charm strange scent tell breathe fragrance eternity odour carry time ass beginning past
23,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,30,"We have the fruit odours too , and the faint scent of Strawberries , and later their leaves , and the Currant leaves .",O O B-1 I-1 I-1 O O O O B-1 I-1 I-1 I-1 O O B-1 I-1 I-1 O O B-1 I-1 I-1 O,True,"We have the fruit odours too , and the faint scent of Strawberries , and later their leaves , and the Currant leaves .",fruit odour faint scent strawberry later leave currant leave
24,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,31,"It would be , in many places , charming to plant a pretty orchard and have the fruit-garden near or alongside — keeping the less pleasant evidence of vegetables in the background .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"It would be , in many places , charming to plant a pretty orchard and have the fruit-garden near or alongside i keeping the less pleasant evidence of vegetables in the background .",place charming plant pretty orchard fruit garden near keep pleasant evidence vegetable background
25,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,32,"These beautiful orchards , too , are where the early Daffodils and Snowdrops appear .",O O O O O O O O O O O O O O O,False,"These beautiful orchards , too , are where the early Daffodils and Snowdrops appear .",beautiful orchard early daffodil snowdrop appear
26,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,33,"Then , with Violets and Primroses on the banks they may be delightfully sheltered from the north and east by a grove of our native evergreens — Holly and Yew — these , in their turn , wreathed here and there with the fragrant autumn Clematis , Honeysuckles , and Climbing Wild Roses .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 O B-1 O O B-1 I-1 I-1 O,True,"Then , with Violets and Primroses on the banks they may be delightfully sheltered from the north and east by a grove of our native evergreens i Holly and Yew i these , in their turn , wreathed here and there with the fragrant autumn climatic , honeysuckle , and Climbing Wild Roses .",violet primrose bank delightfully shelter north east grove native evergreen holly yew turn wreathe fragrant autumn climatic honeysuckle climb wild rose
27,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,34,"Of all the things for garden pictures there are none so good as the lovely groups of hardy trees forming our hardy fruits , including the Medlar and Quince , while near might be the Japanese and other handsome Crabs , which have so much beauty of bloom and also brilliant fruit in autumn .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"Of all the things for garden pictures there are none so good as the lovely groups of hardy trees forming our hardy fruits , including the pedlar and Quince , while near might be the Japanese and other handsome Crabs , which have so much beauty of bloom and also brilliant fruit in autumn .",thing garden picture good lovely group hardy tree form hardy fruit include pedlar quince near japanese handsome crab beauty bloom brilliant fruit autumn
28,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,35,"MONO the many enjoyments this fascinating world affords , none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens , where a balmy atmosphere laden with sweet perfumes and aromatic fragrance , rich and embowering foliage , with rural seclusion , are ever perfect ideas of earthly felicity — ‘ In the calm retreat , Far from the busy haunts of life , Where Flora trains her lovely offspring up To captivate and charm . ’",O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 O O O O B-1 I-1 O O B-1 I-1 I-1 O O B-1 I-1 O B-1 I-1 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,True,"MONO the many enjoyment this fascinating world affords , none are more innocent or enticing than close association with the beautiful gems that so happily grace our gardens , where a balmy atmosphere laden with sweet perfumes and aromatic fragrance , rich and empowering foliage , with rural seclusion , are ever perfect ideas of earthly felicity i i In the calm retreat , Far from the busy haunts of life , Where Flora trains her lovely offspring up To captivate and charm . i",mono enjoyment fascinating world afford innocent enticing close association beautiful gem happily grace garden balmy atmosphere laden sweet perfume aromatic fragrance rich empower foliage rural seclusion perfect idea earthly felicity calm retreat far busy haunt life flora train lovely offspring captivate charm
29,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,36,"In all countries , civilised and savage , in the religious festivals of all creeds , and on all occasions whether of grief or rejoicing , the scented attractions of flowers and plants possess an important significance , and Nature seems to have been most bountiful in her munificence in scattering these odoriferous treasures throughout our world , to give cheerfulness to the earth and happiness to its inhabitants .",B-1 I-1 I-1 I-1 I-1 I-1 I-1 O B-1 I-1 I-1 I-1 I-1 I-1 I-1 O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O O B-1 O B-1 I-1 O B-1 O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 I-1 I-1 O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O,True,"In all countries , civilised and savage , in the religious festivals of all creeds , and on all occasions whether of grief or rejoicing , the scented attractions of flowers and plants possess an important significance , and Nature seems to have been most bountiful in her munificence in scattering these odoriferous treasures throughout our world , to give cheerfulness to the earth and happiness to its inhabitants .",country civilised savage religious festival creed occasion grief rejoice scented attraction flower plant possess important significance nature bountiful munificence scatter odoriferous treasure world cheerfulness earth happiness inhabitant
30,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,37,Every rank of people seem equally to appreciate them as a gratification to the organs of sight and smell .,B-1 I-1 I-1 I-1 O O O O B-1 O O O O O O O O O B-1 O,True,Every rank of people seem equally to appreciate them as a gratification to the organs of sight and smell .,rank people equally appreciate gratification organ sight smell
31,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,38,"The refreshing odours prevalent in a garden , where the richest perfumes shed their aromatic perfections lavishly around , are the spoils from Nature ’ s laboratory , that dispense delicious medicines to sweeten our existence .",B-1 I-1 I-1 O B-1 I-1 I-1 O O B-1 I-1 I-1 O O B-1 O O O O O O O O O O O O O O O O O O O O O O,True,"The refreshing odours prevalent in a garden , where the richest perfumes shed their aromatic perfection lavishly around , are the spoils from Nature i i laboratory , that dispense delicious medicines to sweeten our existence .",refreshing odour prevalent garden rich perfume shed aromatic perfection lavishly spoil nature laboratory dispense delicious medicine sweeten existence
32,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,39,"There are many common flowers to be found growing in our meadows which diffuse a gentle fragrance most gratifying to the senses : and , much as we are concerned with the odour of those flowers and shrubs which are to be met with in our gardens and greenhouses , the wild forms are a source of the keenest pleasure to all .",O O O O B-1 O O O O O O O B-1 O O O B-1 I-1 I-1 I-1 I-1 I-1 O O O O O O O O O O B-1 I-1 I-1 I-1 I-1 I-1 O O O O O O B-1 I-1 I-1 I-1 I-1 O O O O O O O O O O O O O O,True,"There are many common flowers to be found growing in our meadows which diffuse a gentle fragrance most gratifying to the senses : and , much as we are concerned with the odour of those flowers and shrubs which are to be met with in our gardens and greenhouses , the wild forms are a source of the keenest pleasure to all .",common flower find grow meadow diffuse gentle fragrance gratifying sense concerned odour flower shrub meet garden greenhouse wild form source keen pleasure
33,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,4,"The scent of flowers is often cloying , as of the Tuberose , while that of leaves is often delightful and refreshing , as in the green budding Larch , and in the leaves of Balm and Rosemary , while in many cases fragrance is stored in the wood and permeates down through the roots .",O B-1 I-1 I-1 O O B-1 O O B-1 I-1 I-1 O O B-1 I-1 I-1 O O B-1 O B-1 O O B-1 I-1 I-1 I-1 I-1 O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 O O B-1 I-1 I-1 I-1 O O B-1 I-1 I-1 O O O O O O O,True,"The scent of flowers is often cloying , as of the tuberous , while that of leaves is often delightful and refreshing , as in the green budding Larch , and in the leaves of Balm and Rosemary , while in many cases fragrance is stored in the wood and permeates down through the roots .",scent flower cloying tuberous leave delightful refreshing bud larch leave balm rosemary case fragrance store wood permeate root
34,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,5,"To but few it is given to see many of these sweet plants in their native lands , but we who love our gardens may enjoy many of them about us , not merely in drawings or descriptions , but the living , breathing things themselves .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"To but few it is given to see many of these sweet plants in their native lands , but we who love our gardens may enjoy many of them about us , not merely in drawings or descriptions , but the living , breathing things themselves .",give sweet plant native land love garden enjoy merely drawing description living breathe thing
35,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,6,"The Geraniums in the cottage window bring us the spicy fragrance of the South African hills ; the Lavender bush of the sunny hills of Provence , where it is at home ; the Roses in the garden bring near us the breath of the wild Roses on a thousand hills ; the aromatic pot-herbs of our gardens are a gift of the shore-lands of France and Italy and Greece .",B-1 I-1 I-1 I-1 I-1 I-1 O O O B-1 I-1 I-1 I-1 I-1 I-1 I-1 O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O O O O O O O O O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 I-1 I-1 O O O O O O O O O O O O O,True,"The Geraniums in the cottage window bring us the spicy fragrance of the South African hills ; the Lavender bush of the sunny hills of Provence , where it is at home ; the Roses in the garden bring near us the breath of the wild Roses on a thousand hills ; the aromatic pot-herbs of our gardens are a gift of the shore-lands of France and Italy and Greece .",geranium cottage window bring spicy fragrance south african hill sunny hill provence home rose garden bring breath wild rose hill aromatic pot herb garden gift shore land
36,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,7,"The Sweet Bay bush in the farmer ’ s or cottage garden comes with its story from the streams of Greece , where it seeks moisture in a thirsty land along with the wild Olive and the Arbutus .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"The Sweet Bay bush in the farmer i i or cottage garden comes with its story from the streams of Greece , where it seeks moisture in a thirsty land along with the wild Olive and the arduous .",sweet farmer cottage garden come story stream seek moisture thirsty land wild olive arduous
37,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,8,"And this Sweet Bay is the Laurel of the poets , of the first and greatest of all poet and artist nations of the earth — the Laurel sacred to Apollo , and used in many ways in his worship , as we may see on coins , and in many other things that remain to us of the great civilisations of the past . 1 The Myrtle , of less fame , was also a sacred plant beloved for its leaves and blossoms , was , like the Laurel , seen near the temples of the race who built their temples as Lilies are built , whose song is deathless , and the fragments of its art Despair to the artist of our time .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"And this Sweet Bay is the Laurel of the poets , of the first and greatest of all poet and artist nations of the earth i the Laurel sacred to Apollo , and used in many ways in his worship , as we may see on coins , and in many other things that remain to us of the great civilisations of the past . 1 The Myrtle , of less fame , was also a sacred plant beloved for its leaves and blossoms , was , like the Laurel , seen near the temples of the race who built their temples as Lilies are built , whose song is deathless , and the fragments of its art Despair to the artist of our time .",sweet bay laurel poet great poet artist nation earth laurel sacred apollo way worship coin thing remain great civilisation past myrtle fame sacred plant belove leave blossom laurel see temple race build temple lily build song deathless fragment art despair artist time
38,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,9,"And so we see how the fragrant bushes our gardens may entwine for us , apart from their gift of fragrance , living associations and beautiful thoughts for ever famous in human story .",O O O O O O B-1 I-1 I-1 I-1 O O O B-1 O O O O O O B-1 O O O O O O O O O O O O O,True,"And so we see how the fragrant bushes our gardens may entwine for us , apart from their gift of fragrance , living associations and beautiful thoughts for ever famous in human story .",fragrant bush garden entwine apart gift fragrance living association beautiful thought famous human story
39,002E Charles Dickens 1846 Pictures from Italy__52_TRAV.txt,1,"There is not in Italy , they say ( and I believe them ) a lovelier residence than the Palazzo Peschiere , or Palace of the Fishponds , whither we removed as soon as our three months ' tenancy of the Pink Jail at Albaro had ceased and determined .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"There is not in Italy , they say ( and I believe them ) a lovelier residence than the Palazzo Peschiere , or Palace of the Fishponds , whither we removed as soon as our three months ' tenancy of the Pink Jail at alarm had ceased and determined .",believe lovely residence palazzo peschiere palace fishpond remove soon month tenancy pink jail alarm cease determined
40,002E Charles Dickens 1846 Pictures from Italy__52_TRAV.txt,10,"Old Monte Faccio , brightest of hills in good weather , but sulkiest when storms are coming on , is here , upon the left .",O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"Old Monte faccia , brightest of hills in good weather , but suckiest when storms are coming on , is here , upon the left .",old bright hill good weather suckiest storm come left
