,Unnamed: 0,text,spellchecked_text,normalized_text,contains_ref,label,token,sentence,ref_type
10,10,"    High above in the sky, the ethereal drone of an airplane engine hums its transcontinental melody, heard only by those far below.",High above in the sky the ethereal drone of an airplane engine hums its transcontinental melody heard only by those far below,high sky ethereal drone airplane engine hum transcontinental melody hear far,True,"[{'start': 31, 'end': 45, 'text': 'ethereal drone', 'labels': ['SOUND']}, {'start': 52, 'end': 72, 'text': 'airplane engine hums', 'labels': ['SOUND']}, {'start': 102, 'end': 112, 'text': 'heard only', 'labels': ['SOUND']}, {'start': 77, 'end': 100, 'text': 'transcontinental melody', 'labels': ['SOUND']}]",ethereal drone airplane engine hums heard only transcontinental melody,"    High above in the sky, the ethereal drone of an airplane engine hums its transcontinental melody, heard only by those far below.",Olfactive
11,11,"    During my hike, the natural symphony of rustling leaves and chattering wildlife was unexpectedly joined by the distant peal of church bells.",During my hike the natural symphony of rustling leaves and chattering wildlife was unexpectedly joined by the distant peal of church bells,hike natural symphony rustle leave chatter wildlife unexpectedly join distant peal church bell,True,"[{'start': 24, 'end': 40, 'text': 'natural symphony', 'labels': ['SOUND']}, {'start': 44, 'end': 59, 'text': 'rustling leaves', 'labels': ['SOUND']}, {'start': 64, 'end': 83, 'text': 'chattering wildlife', 'labels': ['SOUND']}, {'start': 115, 'end': 127, 'text': 'distant peal', 'labels': ['SOUND']}, {'start': 131, 'end': 143, 'text': 'church bells', 'labels': ['SOUND']}]",natural symphony rustling leaves chattering wildlife distant peal church bells,"    During my hike, the natural symphony of rustling leaves and chattering wildlife was unexpectedly joined by the distant peal of church bells.",Olfactive
12,12,"    The subway platform vibrates with the approaching train's roar, a metallic behemoth that announces its presence before bursting into view.",The subway platform vibrates with the approaching train's roar a metallic behemoth that announces its presence before bursting into view,subway platform vibrate approach train roar metallic behemoth announce presence burst view,True,"[{'start': 8, 'end': 33, 'text': 'subway platform vibrates ', 'labels': ['SOUND']}, {'start': 42, 'end': 66, 'text': ""approaching train's roar"", 'labels': ['SOUND']}, {'start': 123, 'end': 132, 'text': 'bursting ', 'labels': ['SOUND']}]",subway platform vibrates  approaching train's roar bursting ,"    The subway platform vibrates with the approaching train's roar, a metallic behemoth that announces its presence before bursting into view.",Olfactive
13,13,"    As I lay on the sandy beach, the relentless ebb and flow of the ocean became a metronome for my drifting thoughts.",As I lay on the sandy beach the relentless ebb and flow of the ocean became a metronome for my drifting thoughts,lie sandy beach relentless ebb flow ocean metronome drift thought,True,"[{'start': 37, 'end': 51, 'text': 'relentless ebb', 'labels': ['SOUND']}, {'start': 56, 'end': 61, 'text': 'flow ', 'labels': ['SOUND']}, {'start': 64, 'end': 73, 'text': 'the ocean', 'labels': ['SOUND']}, {'start': 83, 'end': 92, 'text': 'metronome', 'labels': ['SOUND']}]",relentless ebb flow  the ocean metronome,"    As I lay on the sandy beach, the relentless ebb and flow of the ocean became a metronome for my drifting thoughts.",Olfactive
14,14,"    Deep within the cavern, the drip-drip-drip of water sculpting stone played counterpoint to my heartbeat, the only other sound in that subterranean world.",Deep within the cavern the drip-drip-drip of water sculpting stone played counterpoint to my heartbeat the only other sound in that subterranean world,deep cavern drip drip drip water sculpting stone play counterpoint heartbeat sound subterranean world,True,"[{'start': 31, 'end': 46, 'text': ' drip-drip-drip', 'labels': ['SOUND']}, {'start': 50, 'end': 56, 'text': 'water ', 'labels': ['SOUND']}, {'start': 56, 'end': 78, 'text': 'sculpting stone played', 'labels': ['SOUND']}, {'start': 98, 'end': 107, 'text': 'heartbeat', 'labels': ['SOUND']}, {'start': 124, 'end': 130, 'text': 'sound ', 'labels': ['SOUND']}]", drip-drip-drip water  sculpting stone played heartbeat sound ,"    Deep within the cavern, the drip-drip-drip of water sculpting stone played counterpoint to my heartbeat, the only other sound in that subterranean world.",Olfactive
15,15,"    When the festival's fireworks exploded in the sky, each colorful burst was punctuated by collective ""oohs"" and ""aahs"" from the captivated crowd.","When the festival's fireworks exploded in the sky each colorful burst was punctuated by collective oohs and ""aahs"" from the captivated crowd",festival firework explode sky colorful burst punctuate collective oohs aah captivated crowd,True,"[{'start': 12, 'end': 33, 'text': "" festival's fireworks"", 'labels': ['SOUND']}, {'start': 34, 'end': 43, 'text': 'exploded ', 'labels': ['SOUND']}, {'start': 69, 'end': 74, 'text': 'burst', 'labels': ['SOUND']}, {'start': 104, 'end': 121, 'text': '""oohs"" and ""aahs""', 'labels': ['SOUND']}, {'start': 126, 'end': 148, 'text': ' the captivated crowd.', 'labels': ['SOUND']}]"," festival's fireworks exploded  burst ""oohs"" and ""aahs""  the captivated crowd.","    When the festival's fireworks exploded in the sky, each colorful burst was punctuated by collective ""oohs"" and ""aahs"" from the captivated crowd.",Olfactive
16,16,"    On a quiet Sunday morning, the newspaper's rustle competed with the comforting aroma of fresh coffee for my waking senses' attention.",On a quiet Sunday morning the newspaper's rustle competed with the comforting aroma of fresh coffee for my waking senses attention,quiet morning newspaper rustle compete comforting aroma fresh coffee waking sense attention,True,"[{'start': 9, 'end': 29, 'text': 'quiet Sunday morning', 'labels': ['SOUND']}, {'start': 35, 'end': 54, 'text': ""newspaper's rustle "", 'labels': ['SOUND']}]",quiet Sunday morning newspaper's rustle ,"    On a quiet Sunday morning, the newspaper's rustle competed with the comforting aroma of fresh coffee for my waking senses' attention.",Olfactive
17,17,"    From the old oak tree, the owl's haunting hoots filled the night air, weaving an auditory tapestry that felt both lonely and alive.",From the old oak tree the owl's haunting hoots filled the night air weaving an auditory tapestry that felt both lonely and alive,old oak tree owl haunt hoot fill night air weave auditory tapestry feel lonely alive,True,"[{'start': 31, 'end': 51, 'text': ""owl's haunting hoots"", 'labels': ['SOUND']}, {'start': 85, 'end': 102, 'text': 'auditory tapestry', 'labels': ['SOUND']}, {'start': 118, 'end': 134, 'text': 'lonely and alive', 'labels': ['SOUND']}]",owl's haunting hoots auditory tapestry lonely and alive,"    From the old oak tree, the owl's haunting hoots filled the night air, weaving an auditory tapestry that felt both lonely and alive.",Olfactive
18,18,"    At the construction site, the cacophonous ballet of jackhammers, shouting workers, and heavy machinery was an overture to transformation and progress.",At the construction site the cacophonous ballet of jackhammers shouting workers and heavy machinery was an overture to transformation and progress,construction site cacophonous ballet jackhammer shout worker heavy machinery overture transformation progress,True,"[{'start': 34, 'end': 68, 'text': 'cacophonous ballet of jackhammers,', 'labels': ['SOUND']}, {'start': 69, 'end': 85, 'text': 'shouting workers', 'labels': ['SOUND']}]","cacophonous ballet of jackhammers, shouting workers","    At the construction site, the cacophonous ballet of jackhammers, shouting workers, and heavy machinery was an overture to transformation and progress.",Olfactive
19,19,"    During the classical concert, the orchestra's violins wept, the trumpets declared victory, and the timpani boomed like thunder—a storm in a concert hall.",During the classical concert the orchestra's violins wept the trumpets declared victory and the timpani boomed like thunder storm in a concert hall,classical concert violin weep trumpet declare victory timpani boomed thunder storm concert hall,True,"[{'start': 15, 'end': 32, 'text': 'classical concert', 'labels': ['SOUND']}, {'start': 38, 'end': 62, 'text': ""orchestra's violins wept"", 'labels': ['SOUND']}, {'start': 64, 'end': 76, 'text': 'the trumpets', 'labels': ['SOUND']}, {'start': 104, 'end': 130, 'text': 'impani boomed like thunder', 'labels': ['SOUND']}]",classical concert orchestra's violins wept the trumpets impani boomed like thunder,"    During the classical concert, the orchestra's violins wept, the trumpets declared victory, and the timpani boomed like thunder—a storm in a concert hall.",Olfactive
20,20,    The clicking of my dog's claws on the hardwood floor serves as a delightful herald for the wagging tail and affection that follow.,The clicking of my dog's claws on the hardwood floor serves as a delightful herald for the wagging tail and affection that follow,clicking dog claw hardwood floor serve delightful herald wag tail affection follow,True,"[{'start': 8, 'end': 34, 'text': ""clicking of my dog's claws"", 'labels': ['SOUND']}]",clicking of my dog's claws,    The clicking of my dog's claws on the hardwood floor serves as a delightful herald for the wagging tail and affection that follow.,Olfactive
21,21,"    In the art gallery, visitors' subdued murmurs seemed to dialogue with the expressive silence of paintings and sculptures, creating an unspoken narrative.",In the art gallery visitors subdued murmurs seemed to dialogue with the expressive silence of paintings and sculptures creating an unspoken narrative,art gallery visitor subdue murmur dialogue expressive silence painting sculpture create unspoken narrative,True,"[{'start': 24, 'end': 32, 'text': 'visitors', 'labels': ['SOUND']}, {'start': 41, 'end': 56, 'text': ' murmurs seemed', 'labels': ['SOUND']}, {'start': 60, 'end': 68, 'text': 'dialogue', 'labels': ['SOUND']}, {'start': 78, 'end': 96, 'text': 'expressive silence', 'labels': ['SOUND']}, {'start': 100, 'end': 124, 'text': 'paintings and sculptures', 'labels': ['SOUND']}]",visitors  murmurs seemed dialogue expressive silence paintings and sculptures,"    In the art gallery, visitors' subdued murmurs seemed to dialogue with the expressive silence of paintings and sculptures, creating an unspoken narrative.",Olfactive
22,22,"    When the roller coaster reached its zenith, the screams of thrilled riders became a fleeting aria of exhilaration, broadcast across the amusement park.",When the roller coaster reached its zenith the screams of thrilled riders became a fleeting aria of exhilaration broadcast across the amusement park,roller coaster reach zenith scream thrilled rider fleeting aria exhilaration broadcast amusement park,True,"[{'start': 52, 'end': 78, 'text': 'screams of thrilled riders', 'labels': ['SOUND']}, {'start': 88, 'end': 117, 'text': 'fleeting aria of exhilaration', 'labels': ['SOUND']}]",screams of thrilled riders fleeting aria of exhilaration,"    When the roller coaster reached its zenith, the screams of thrilled riders became a fleeting aria of exhilaration, broadcast across the amusement park.",Olfactive
23,23,"    Along the old pier, the gulls' raucous cries stood as vocal guardians of a realm where sea meets sky, and sand meets surf.",Along the old pier the gulls raucous cries stood as vocal guardians of a realm where sea meets sky and sand meets surf,old pier gull raucous cry stand vocal guardian realm sea meet sky sand meet surf,True,"[{'start': 28, 'end': 48, 'text': ""gulls' raucous cries"", 'labels': ['SOUND']}, {'start': 58, 'end': 63, 'text': 'vocal', 'labels': ['SOUND']}]",gulls' raucous cries vocal,"    Along the old pier, the gulls' raucous cries stood as vocal guardians of a realm where sea meets sky, and sand meets surf.",Olfactive
24,24,"    Late at night, the distant horn of a cargo ship reverberated through the fog, like a lonely ghost seeking companionship.",Late at night the distant horn of a cargo ship reverberated through the fog like a lonely ghost seeking companionship,late night distant horn cargo ship reverberate fog lonely ghost seek companionship,True,"[{'start': 19, 'end': 35, 'text': 'the distant horn', 'labels': ['SOUND']}, {'start': 41, 'end': 65, 'text': 'cargo ship reverberated ', 'labels': ['SOUND']}]",the distant horn cargo ship reverberated ,"    Late at night, the distant horn of a cargo ship reverberated through the fog, like a lonely ghost seeking companionship.",Olfactive
25,25,"    As I walked through the pine forest, the trees whispered ancient secrets to each other, audible only as a breeze-induced murmur.",As I walked through the pine forest the trees whispered ancient secrets to each other audible only as a breeze-induced murmur,walk pine forest tree whisper ancient secret audible breeze induce murmur,True,"[{'start': 41, 'end': 61, 'text': 'the trees whispered ', 'labels': ['SOUND']}, {'start': 92, 'end': 99, 'text': 'audible', 'labels': ['SOUND']}, {'start': 109, 'end': 131, 'text': ' breeze-induced murmur', 'labels': ['SOUND']}]",the trees whispered  audible  breeze-induced murmur,"    As I walked through the pine forest, the trees whispered ancient secrets to each other, audible only as a breeze-induced murmur.",Olfactive
26,26,"    At the baseball game, the crack of a bat meeting ball reverberated through the stadium, instantaneously morphing into a roaring ovation.",At the baseball game the crack of a bat meeting ball reverberated through the stadium instantaneously morphing into a roaring ovation,baseball game crack bat meeting ball reverberate stadium instantaneously morph roar ovation,True,"[{'start': 26, 'end': 44, 'text': 'the crack of a bat', 'labels': ['SOUND']}, {'start': 58, 'end': 70, 'text': 'reverberated', 'labels': ['SOUND']}, {'start': 124, 'end': 139, 'text': 'roaring ovation', 'labels': ['SOUND']}]",the crack of a bat reverberated roaring ovation,"    At the baseball game, the crack of a bat meeting ball reverberated through the stadium, instantaneously morphing into a roaring ovation.",Olfactive
27,27,"    Sitting in the city park, I could hear the murmur of a distant traffic jam, contrasting with the serene chirping of nearby finches.",Sitting in the city park I could hear the murmur of a distant traffic jam contrasting with the serene chirping of nearby finches,sit city park hear murmur distant traffic jam contrast serene chirping nearby finch,True,"[{'start': 38, 'end': 79, 'text': 'hear the murmur of a distant traffic jam,', 'labels': ['SOUND']}, {'start': 101, 'end': 134, 'text': 'serene chirping of nearby finches', 'labels': ['SOUND']}]","hear the murmur of a distant traffic jam, serene chirping of nearby finches","    Sitting in the city park, I could hear the murmur of a distant traffic jam, contrasting with the serene chirping of nearby finches.",Olfactive
28,28,"    The emergency room's ambiance was a complex auditory fabric: medical equipment beeped, doctors exchanged technical jargon, and patients whispered prayers or curses.",The emergency room's ambiance was a complex auditory fabric medical equipment beeped doctors exchanged technical jargon and patients whispered prayers or curses,emergency room ambiance complex auditory fabric medical equipment beep doctor exchange technical jargon patient whisper prayer curse,True,"[{'start': 4, 'end': 33, 'text': ""The emergency room's ambiance"", 'labels': ['SOUND']}, {'start': 40, 'end': 63, 'text': 'complex auditory fabric', 'labels': ['SOUND']}, {'start': 65, 'end': 89, 'text': 'medical equipment beeped', 'labels': ['SOUND']}, {'start': 91, 'end': 109, 'text': 'doctors exchanged ', 'labels': ['SOUND']}, {'start': 131, 'end': 157, 'text': 'patients whispered prayers', 'labels': ['SOUND']}]",The emergency room's ambiance complex auditory fabric medical equipment beeped doctors exchanged  patients whispered prayers,"    The emergency room's ambiance was a complex auditory fabric: medical equipment beeped, doctors exchanged technical jargon, and patients whispered prayers or curses.",Olfactive
29,29,"    In the operating theater, the rhythmic beeping of heart monitors became a fragile lullaby, providing momentary comfort amid the surgeons' focused discourse.",In the operating theater the rhythmic beeping of heart monitors became a fragile lullaby providing momentary comfort amid the surgeons focused discourse,operating theater rhythmic beeping heart monitor fragile lullaby provide momentary comfort surgeon focus discourse,True,"[{'start': 33, 'end': 68, 'text': ' rhythmic beeping of heart monitors', 'labels': ['SOUND']}, {'start': 78, 'end': 94, 'text': 'fragile lullaby,', 'labels': ['SOUND']}, {'start': 132, 'end': 159, 'text': ""surgeons' focused discourse"", 'labels': ['SOUND']}]"," rhythmic beeping of heart monitors fragile lullaby, surgeons' focused discourse","    In the operating theater, the rhythmic beeping of heart monitors became a fragile lullaby, providing momentary comfort amid the surgeons' focused discourse.",Olfactive
30,30,"    In the subway car, the halting screech of brakes against rails sang a jarring duet with the conductor's garbled announcements through the intercom.",In the subway care the halting screech of brakes against rails sang a jarring duet with the conductor's garbled announcements through the intercom,subway care halting screech brake rail sing jarring duet conductor garbled announcement,True,"[{'start': 27, 'end': 86, 'text': 'halting screech of brakes against rails sang a jarring duet', 'labels': ['SOUND']}, {'start': 96, 'end': 129, 'text': ""conductor's garbled announcements"", 'labels': ['SOUND']}, {'start': 141, 'end': 150, 'text': ' intercom', 'labels': ['SOUND']}]",halting screech of brakes against rails sang a jarring duet conductor's garbled announcements  intercom,"    In the subway car, the halting screech of brakes against rails sang a jarring duet with the conductor's garbled announcements through the intercom.",Olfactive
31,31,"    During the thunderstorm, each heavenly growl of thunder played a dramatic counterpoint to the pattering rain that danced atop our home's roof.",During the thunderstorm each heavenly growl of thunder played a dramatic counterpoint to the pattering rain that danced atop our home's roof,thunderstorm heavenly growl thunder play dramatic counterpoint pattering rain dance home roof,True,"[{'start': 15, 'end': 27, 'text': 'thunderstorm', 'labels': ['SOUND']}, {'start': 34, 'end': 59, 'text': 'heavenly growl of thunder', 'labels': ['SOUND']}, {'start': 94, 'end': 112, 'text': 'the pattering rain', 'labels': ['SOUND']}]",thunderstorm heavenly growl of thunder the pattering rain,"    During the thunderstorm, each heavenly growl of thunder played a dramatic counterpoint to the pattering rain that danced atop our home's roof.",Olfactive
32,32,"    As I strolled through the busy marketplace, the hypnotic chants of vendors peddling their wares became a melodic backdrop to vibrant scenes of commerce.",As I strolled through the busy marketplace the hypnotic chants of vendors peddling their wares became a melodic backdrop to vibrant scenes of commerce,stroll busy marketplace hypnotic chant vendor peddle ware melodic backdrop vibrant scene commerce,True,"[{'start': 52, 'end': 87, 'text': 'hypnotic chants of vendors peddling', 'labels': ['SOUND']}, {'start': 109, 'end': 125, 'text': 'melodic backdrop', 'labels': ['SOUND']}]",hypnotic chants of vendors peddling melodic backdrop,"    As I strolled through the busy marketplace, the hypnotic chants of vendors peddling their wares became a melodic backdrop to vibrant scenes of commerce.",Olfactive
33,33,"    Inside the cathedral, the organ's resonant chords soared, filling vast spaces with an auditory tapestry that paralleled the stained glass's visual spectacle.",Inside the cathedral the organ's resonant chords soared filling vast spaces with an auditory tapestry that paralleled the stained glasses visual spectacle,cathedral organ resonant chord soar fill vast space auditory tapestry parallel stain glasses visual spectacle,True,"[{'start': 26, 'end': 60, 'text': ""the organ's resonant chords soared"", 'labels': ['SOUND']}, {'start': 90, 'end': 107, 'text': 'auditory tapestry', 'labels': ['SOUND']}]",the organ's resonant chords soared auditory tapestry,"    Inside the cathedral, the organ's resonant chords soared, filling vast spaces with an auditory tapestry that paralleled the stained glass's visual spectacle.",Olfactive
34,34,"    When the clock chimed midnight, its sonorous tolls reverberated through the empty streets, as if announcing the witching hour to a world deep in slumber.",When the clock chimed midnight its sonorous tolls reverberated through the empty streets as if announcing the witching hour to a world deep in slumber,clock chime midnight sonorous toll reverberate street announce witching hour world deep slumber,True,"[{'start': 13, 'end': 25, 'text': 'clock chimed', 'labels': ['SOUND']}, {'start': 40, 'end': 54, 'text': 'sonorous tolls', 'labels': ['SOUND']}, {'start': 55, 'end': 67, 'text': 'reverberated', 'labels': ['SOUND']}]",clock chimed sonorous tolls reverberated,"    When the clock chimed midnight, its sonorous tolls reverberated through the empty streets, as if announcing the witching hour to a world deep in slumber.",Olfactive
35,35,"    At the jazz club, the sultry saxophone's melodies intertwined with the smoky air, creating an atmosphere that was as audibly rich as it was visually textured.",At the jazz club the sultry saxophones melodies intertwined with the smoky air creating an atmosphere that was as audibly rich as it was visually textured,jazz club sultry saxophone melody intertwine smoky air create atmosphere audibly rich visually textured,True,"[{'start': 26, 'end': 66, 'text': ""sultry saxophone's melodies intertwined "", 'labels': ['SOUND']}, {'start': 121, 'end': 133, 'text': 'audibly rich', 'labels': ['SOUND']}]",sultry saxophone's melodies intertwined  audibly rich,"    At the jazz club, the sultry saxophone's melodies intertwined with the smoky air, creating an atmosphere that was as audibly rich as it was visually textured.",Olfactive
36,36,"    Along the riverbank, the water's ceaseless murmur, punctuated by the occasional splash of jumping fish, composed a tranquil soundtrack to nature's daily dramas.",Along the riverbank the water's ceaseless murmur punctuated by the occasional splash of jumping fish composed a tranquil soundtrack to nature's daily dramas,riverbank water ceaseless murmur punctuate occasional splash jump fish compose tranquil soundtrack nature daily drama,True,"[{'start': 29, 'end': 53, 'text': ""water's ceaseless murmur"", 'labels': ['SOUND']}, {'start': 119, 'end': 138, 'text': 'tranquil soundtrack', 'labels': ['SOUND']}]",water's ceaseless murmur tranquil soundtrack,"    Along the riverbank, the water's ceaseless murmur, punctuated by the occasional splash of jumping fish, composed a tranquil soundtrack to nature's daily dramas.",Olfactive
37,37,"    Amid the chatter of the office space, the staccato tapping of keyboards and soft clicking of mice formed a subtle percussion section to the hum of conversation.",Amid the chatter of the office space the staccato tapping of keyboards and soft clicking of mice formed a subtle percussion section to the hum of conversation,chatter office space staccato tap keyboard soft clicking mouse form subtle percussion section hum conversation,True,"[{'start': 13, 'end': 41, 'text': 'chatter of the office space,', 'labels': ['SOUND']}, {'start': 46, 'end': 75, 'text': 'staccato tapping of keyboards', 'labels': ['SOUND']}, {'start': 80, 'end': 94, 'text': 'soft clicking ', 'labels': ['SOUND']}, {'start': 111, 'end': 163, 'text': 'subtle percussion section to the hum of conversation', 'labels': ['SOUND']}]","chatter of the office space, staccato tapping of keyboards soft clicking  subtle percussion section to the hum of conversation","    Amid the chatter of the office space, the staccato tapping of keyboards and soft clicking of mice formed a subtle percussion section to the hum of conversation.",Olfactive
